Crude,Indigo
74.96,724.45
73.17,744.45
70.97,760.8
71.78,808.55
72.11,822.3
69.75,869.25
69.12,837.15
69.12,831.65
69.17,806.5
66.43,803.85
66.82,816.75
67.59,877.95
67.59,870.1
67.04,884.4
66.18,882.4
65.31,888.9
63.69,925.4
63.14,975.25
63.1,968.9
62.21,955.65
61.67,961.2
60.19,991.95
59.93,948.6
55.69,974.9
56.25,1048.45
56.46,1043.95
56.46,1049.4
56.76,1042.65
53.43,1033.15
54.63,1046.95
54.44,1026.4
51.63,1048.65
51.56,1035.6
50.29,1036.9
51.45,1048.45
50.93,1038.25
52.95,982.8
53.25,995.8
52.89,1000.8
51.49,991.1
52.61,1021.05
51,1004.55
51.65,1026.1
51.15,1023.95
52.58,1060
51.2,1061.6
49.88,1060.1
46.24,1108.5
48.17,1151.45
47.12,1152.05
45.59,1154.45
42.53,1161.4
46.22,1156.25
